id,wikidata_id,name,description,wikipedia_title,entity_type,gender,publisher,narrative_universe,first_appearance,creators
244,Q3247771,Surtur,villain appearing in Marvel comics,Surtur (character),comics character,male,,Earth-616,,
245,Q3259423,Lorelei,fictional character in the Marvel Universe,Lorelei (Asgardian),Asgardian,female,,Earth-616,,
246,Q3269419,Cobalt Man,fictional character in Marvel Comics,Cobalt Man,mutate,male,,Earth-616,X-Men #31,Roy Thomas; Werner Roth
247,Q3281842,Malekith the Accursed,fictional character in Marvel Comics,Malekith the Accursed,Dark Elf; comics character,male,,Earth-616,,Walt Simonson
248,Q3285766,Mangog,fictional character in Marvel Comics,Mangog,fictional humanoid extraterrestrial; comics character,male,,Earth-616,,Stan Lee; Jack Kirby
249,Q3293073,Mariko Yashida,fictional character in Marvel Comics,Mariko Yashida,comics character; fictional human; animated character; film character,female,,Earth-616,X-Men #118,Chris Claremont; John Byrne
250,Q3303309,Hate-Monger,Wikipedia article covering multiple topics,Hate-Monger,Wikimedia article covering multiple topics,,,,,
251,Q3336797,Nathaniel Richards,fictional character in Marvel Comics,Nathaniel Richards (Marvel Comics),comics character; fictional human,male,,Earth-616,,
252,Q3356429,Orka,fictional comic book character,Orka (character),comics character,male,,Earth-616,,
253,Q3440451,Rocket Racer,fictional character in Marvel Comics,Rocket Racer,comics character; fictional human,male,,Earth-616,,
254,Q3446576,Ruby Summers,fictional character in Marvel Comics,Ruby Summers,fictional human; mutant,female,,Earth-1191,,Peter David
255,Q3480653,Seth,Marvel comics character based on the Egyptian god,,fictional deity,,,Earth-616,,
256,Q3486816,Slyde,fictional character in Marvel Comics,Slyde,fictional human; comics character,male,,Earth-616,,Tom DeFalco; Ron Frenz; Sal Buscema
257,Q3488248,Serpent Society,fictional supervillain group,Serpent Society,group of fictional characters; fictional organization,,,Earth-616,,
258,Q3489235,Solarr,comics character,Solarr,comics character,,,Earth-616,,
259,Q3492961,Speedfreek,,,fictional human,,,Earth-616,,
260,Q3496918,Star-Lord,fictional character in Marvel Comics,Star-Lord,extraterrestrial–human hybrid in a work of fiction; comics character,male,,Marvel Cinematic Universe; Earth-616,,Keith Giffen; Ron Lim
261,Q3498060,Stegron,comics character,Stegron,comics character; mutate; anthropomorphic dinosaur,male,,Earth-616,,
262,Q3501133,Stunner,fictional character in Marvel Comics,,comics character,female,,Earth-616,,
263,Q3503968,Sunset Bain,fictional comic book character,Sunset Bain,character,female,,Earth-616,,
264,Q3539043,Trick Shot,supervillain in Marvel Universe,Trick Shot (character),comics character,,,Earth-616,,
265,Q3543422,Immortus,fictional character,Immortus,comics character,male,,Earth-616,,Stan Lee; Jack Kirby
266,Q3543851,Dorma,fictional character in Marvel Comics,Dorma (character),Homo mermanus; comics character,female,,Earth-616,Marvel Comics #1,Bill Everett
267,Q3544280,Barracuda,fictional character in Marvel Comics,Barracuda (Marvel Comics),comics character; fictional human,male,,Earth-616,,Garth Ennis; Goran Parlov; Howard Chaykin
268,Q3544440,Black Tarantula,fictional character in Marvel Comics,Black Tarantula,comics character; mutate,male,,Earth-616,,Tom DeFalco; Steve Skroce
269,Q3544680,Iron Maiden,fictional character in Marvel Comics,Iron Maiden (Marvel Comics),fictional human; comics character,female,,Earth-616,,Ralph Macchio; George Pérez
270,Q3545397,Bushman,Marvel Comics character,Bushman (character),comics character,male,,Earth-616,,
271,Q3545586,Kristoff Vernard,fictional character in Marvel Comics,Kristoff Vernard,comics character; fictional human,male,,Earth-616,,John Byrne
272,Q3545630,Gaea,fictional character in Marvel Comics,,Elder God; cosmic entity; comics character,female,,Earth-616,,
273,Q3545872,Vance Astrovik,fictional character in Marvel Comics,Vance Astrovik,mutant,male,,Earth-616,,
274,Q3546921,Cerise,fictional pilot in Marvel comics,Cerise (comics),comics character; Shi'ar,female,,Earth-616,,
275,Q3550368,Death-Stalker,"fictional character in Marvel Comics, introduced in 1968",Death-Stalker,fictional human; comics character,male,,Earth-616,,Stan Lee; Gene Colan
276,Q3551286,Hitman,Marvel fictional character,Hitman (Marvel Comics),comics character,,,Earth-616,,
277,Q3570193,Wyatt Wingfoot,fictional character in Marvel Comics,Wyatt Wingfoot,fictional human; comics character,male,,Earth-616,,Stan Lee; Jack Kirby
278,Q3570549,Xandu,fictional character in Marvel Comics,,fictional human; comics character,male,,Earth-616,The Amazing Spider-Man Annual #2,Stan Lee; Steve Ditko
279,Q3576299,Zuras,fictional character in Marvel Comics,Zuras,Eternal; comics character,male,,Earth-616,,Jack Kirby; Martin A. Burnstein
280,Q3613591,Amanda Sefton,fictional character in Marvel Comics,Amanda Sefton,comics character; witch in a work of fiction; animated character,female,,Earth-616,X-Men #98,Chris Claremont; Dave Cockrum
281,Q3658902,Carlie Cooper,comics character,Carlie Cooper,comics character; fictional human,female,,Earth-616,,Dan Slott; Joe Quesada
282,Q3686980,White Rabbit,fictional character in the Marvel Universe,White Rabbit (Marvel Comics),comics character,female,,Earth-616,,
283,Q369515,Wraith,codename of four unrelated Marvel characters,Wraith (Marvel Comics),mutant; set of comics characters,,,Earth-616,,
284,Q3704417,Debra Whitman,fictional character in Marvel Comics,Debra Whitman,comics character; fictional human,female,,Earth-616,,Marv Wolfman; Al Milgrom
285,Q3772700,Kindred,Marvel Comics characters,Kindred (Marvel Comics),fictional couple; fictional group of siblings,,,Earth-616,,
286,Q3785756,Hiro-Kala,comics character,Hiro-Kala,comics character; gamma mutate,male,,Earth-616,,
287,Q3832323,Lyja,fictional character in Marvel Comics,Lyja,comics character; Skrull,female,,Earth-616,,
288,Q3841033,Lyra,fictional character in Marvel Comics,She-Hulk (Lyra),comics character; gamma mutate,female,,Earth-8009; Earth-616,Hulk: Raging Thunder,
289,Q3846693,Nick Fury Jr.,fictional character in Marvel Comics,Nick Fury Jr.,mutate; comics character,male,,Earth-616,,Matt Fraction; Christopher Lee Yost; Scot Eaton; Cullen Bunn; Paul Neary
290,Q3847537,Maria Stark,fictional character in Marvel Comics,Maria Stark,comics character; fictional human,female,,Earth-616,,Bill Mantlo; George Tuska
291,Q385744,Speed Demon,fictional character in Marvel Comics,Speed Demon (Marvel Comics),mutate; comics character,male,,Earth-616,,Roy Thomas; Sal Buscema
292,Q39052969,Martha Connors,fictional character in Marvel Comics,Martha Connors,mutate; comics character,female,,Earth-616,The Amazing Spider-Man #6,Stan Lee; Steve Ditko
293,Q39069914,Billy Connors,fictional character in Marvel Comics,Billy Connors (character),mutate; comics character,male,,Earth-616,The Amazing Spider-Man #6,
