identity_id,relation,other_name,other_identity_id,other_wikidata_id
18,enemy,Absorbing Man,,Q2465865
18,enemy,Mister Hyde,,Q1638775
18,enemy,Madman,,Q4781622
18,enemy,Glob,,Q5570029
18,enemy,Bi-Beast,,Q2900730
18,enemy,U-Foes,,Q962140
18,enemy,Zzzax,,Q2309083
18,enemy,Mercy,,Q6818707
18,enemy,Gamma Corps,,Q3095016
18,enemy,Speedfreek,,Q3492961
18,enemy,Maestro,,Q6729338
18,enemy,Brian Banner,,Q4963042
18,enemy,One Below All,,Q125348701
18,mother,Rebecca Banner,,Q17066180
18,father,Brian Banner,,Q4963042
18,spouse,Betty Ross,,Q616633
18,spouse,Caiera,,Q1130690
18,child,Skaar,,Q1394575
18,child,Hiro-Kala,,Q3785756
18,child,Lyra,,Q3841033
18,relative,She-Hulk / Jennifer Walters,146,Q677627
18,alternate_universe_counterpart,Ultimate Hulk,,Q105605035
18,alternate_universe_counterpart,Maestro,,Q6729338
181,spouse,Richard Parker,222,Q102268961
181,child,Peter Parker / Spider-Man,27,Q79037
182,father,J. Jonah Jameson,137,Q1992523
183,enemy,Peter Parker / Spider-Man,27,Q79037
184,enemy,Flipside,,Q5459730
184,enemy,Tyler Stone,,Q7860164
184,father,Tyler Stone,,Q7860164
184,relative,Tiberius Stone,,Q14619282
187,enemy,Doctor Doom,9,Q430178
187,father,Nathaniel Richards,,Q3336797
187,spouse,Invisible Woman,,Q510450
187,child,Franklin Richards,,Q2624716
187,child,Valeria Richards,,Q734861
187,alternate_universe_counterpart,Maker,,Q39071489
187,alternate_universe_counterpart,Doom,,Q133799925
189,enemy,Bushman,,Q3545397
189,enemy,Black Spectre,,Q4921877
189,spouse,Marlene Alraune,,Q60549183
19,enemy,Daredevil,8,Q327553
19,enemy,Peter Parker / Spider-Man,27,Q79037
19,enemy,Captain America,5,Q190679
19,enemy,Hammerhead,122,Q2719607
19,enemy,Silvermane,,Q2500449
19,enemy,Richard Fisk,,Q2436122
19,enemy,Vanessa Fisk,,Q7914646
19,enemy,Frank Castle / The Punisher,14,Q729150
19,spouse,Vanessa Fisk,,Q7914646
19,spouse,Typhoid Mary,251,Q2625935
19,child,Richard Fisk,,Q2436122
194,enemy,Attuma,,Q2393694
194,enemy,Llyra,,Q6662949
194,enemy,Gargantos,,Q110917411
194,enemy,Orka,,Q3356429
194,enemy,Commander Kraken,,Q780488
194,mother,Fen,,Q115441513
194,spouse,Marrina Smallwood,,Q2295556
194,spouse,Dorma,,Q3543851
194,partner,Emma Frost,,Q1995969
194,alternate_universe_counterpart,Ultimate Namor,,Q15141703
196,spouse,Betty Brant,67,Q2628255
198,enemy,Baron Strucker,,Q576524
198,child,Nick Fury Jr.,,Q3846693
198,alternate_universe_counterpart,Nick Fury,,Q7880226
2,child,Darkdevil,,Q5223578
20,enemy,Peter Parker / Spider-Man,27,Q79037
20,enemy,Tigra,,Q2532716
20,child,Alyosha Kravinoff,,Q653898
20,child,Ana Kravinoff,,Q19875028
20,child,Grim Hunter,,Q2003141
20,partner,Calypso,4,Q2934584
20,alternate_universe_counterpart,Ultimate Kraven,,Q4003168
200,enemy,Mystique,,Q737236
200,enemy,Azazel,,Q2642022
200,enemy,Graydon Creed,,Q3115851
200,mother,Mystique,,Q737236
200,mother,Destiny,,Q1051111
200,father,Azazel,,Q2642022
200,child,Nocturne,,Q1911253
200,partner,Amanda Sefton,,Q3613591
200,partner,Cerise,,Q3546921
200,alternate_universe_counterpart,Nightcrawler,,Q117322409
202,enemy,Doctor Doom,9,Q430178
202,enemy,Mephisto,,Q2418665
202,enemy,Galactus,111,Q1429836
202,enemy,Thanos,246,Q2276627
202,enemy,Terrax,,Q1984020
202,partner,Shalla-Bal,,Q7487249
207,enemy,Peter Parker / Spider-Man,27,Q79037
207,enemy,Cletus Kasady,,Q55607777
207,enemy,Knull,160,Q85774745
207,spouse,Anne Weying,57,Q14475812
207,alternate_universe_counterpart,Venom,,Q125253709
207,alternate_universe_counterpart,Eddie Brock,,Q63761182
208,alternate_universe_counterpart,Peter Parker / Spider-Man,27,Q79037
208,alternate_universe_counterpart,Ultimate Spider-Man,,Q47471875
208,alternate_universe_counterpart,Spider-Man Noir,37,Q3966701
208,alternate_universe_counterpart,Spider-Ham,36,Q3966700
208,alternate_universe_counterpart,Spider-Man,,Q48739522
209,spouse,Tony Stark,,Q23894967
209,child,Morgan Stark,,Q6911845
21,enemy,Peter Parker / Spider-Man,27,Q79037
21,spouse,Martha Connors,,Q39052969
21,child,Billy Connors,,Q39069914
211,enemy,Ogun,,Q7080283
211,mother,Terri Pryde,,Q111658697
211,father,Carmen Pryde,,Q111658696
211,partner,Colossus,,Q60002
211,partner,Star-Lord,,Q3496918
211,partner,Iceman,132,Q838088
211,partner,Pete Wisdom,,Q1136453
211,alternate_universe_counterpart,Kate Pryde,,Q112110359
211,alternate_universe_counterpart,Colleen,,Q114005814
211,alternate_universe_counterpart,Ultimate Kitty Pryde,,Q48958279
214,enemy,Magneto,171,Q840291
214,enemy,Juggernaut,,Q841372
214,enemy,Cassandra Nova,,Q858901
214,enemy,Pyro,,Q2339776
214,enemy,Shadow King,,Q1585469
214,mother,Sharon Xavier,,Q111328112
214,father,Brian Xavier,,Q111328111
214,spouse,Lilandra Neramani,,Q2504688
214,child,Legion,,Q1607791
214,child,Xandra Neramani,,Q133267296
214,partner,Amelia Voght,,Q2842673
214,partner,Gabrielle Haller,,Q5516076
214,partner,Moira MacTaggert,,Q2361279
214,alternate_universe_counterpart,Professor X,,Q117322403
222,spouse,Mary Parker,181,Q102268990
222,child,Peter Parker / Spider-Man,27,Q79037
225,spouse,Jefferson Davis,144,Q115534083
225,child,Miles Morales,25,Q59826
227,enemy,Tombstone,43,Q59643
227,child,Randy Robertson,,Q7292400
229,enemy,Mystique,,Q737236
229,enemy,Carol Danvers,,Q64658380
229,mother,Mystique,,Q737236
229,mother,Destiny,,Q1051111
229,spouse,Gambit (Remy LeBeau),112,Q2639150
229,child,Magnus Lehnsherr,,Q16253333
229,partner,Magneto,171,Q840291
229,partner,Joseph,,Q1771401
229,alternate_universe_counterpart,Ultimate Rogue,,Q48946153
23,enemy,Peter Parker / Spider-Man,27,Q79037
231,spouse,Otto Octavius,,Q63761127
239,spouse,Talos (Skrull),244,Q66189316
24,partner,Peter Parker,,Q23991129
240,enemy,Nitro,,Q669916
241,enemy,Peter Parker / Spider-Man,27,Q79037
241,child,Alistair Smythe,53,Q2837209
243,enemy,Shadow King,,Q1585469
243,mother,N'Dare,,Q111309715
