id,name,person_id,wikidata_id,wikipedia_title
142,Melanie Minichino,141,,
143,Lily Sanfelippo,145,,
144,Benjamin Valic,143,,
145,J. P. Karliak,147,,
146,Jakari Fraser,144,,
147,Kelly Ohanian,146,,
148,Kari Wahlgren,149,,
149,Colman Domingo,152,,
150,Hudson Thames,148,,
151,Hugh Dancy,153,,
152,Grace Song,150,,
153,Eugene Byrd,151,,
154,Charlie Cox,154,,
155,Michael Pataki,155,,
156,Lisa Eilbacher,156,,
157,Jeff Donnell,157,,
158,Hilly Hicks,158,,
159,Thayer David,159,,
160,Robert Hastings,160,,
161,Ivor Francis,161,,
162,Joanna Cameron,170,,
163,Randy Powell,171,,
164,Lawrence P. Casey,172,,
165,Simon Scott,173,,
166,Benson Fong,177,,
167,John Milford,178,,
168,Hagan Beggs,179,,
169,Ted Danson,180,,
170,Cliff Robertson,192,,
171,Michael Papajohn,193,,
172,Dylan Baker,202,,
173,Topher Grace,210,,
174,Martin Sheen,214,,
175,Sally Field,215,,
176,Embeth Davidtz,216,,
177,Zendaya,231,,
178,Laura Harrier,232,,
179,Donald Glover,233,,
180,Chris Pine,246,,
181,Benedict Cumberbatch,257,,
182,Issa Rae,260,,
183,Stephen Graham,273,,
184,Jared Leto,278,,
185,Sydney Sweeney,285,,
186,Isabela Merced,286,,
187,Celeste O'Connor,287,,
188,Adam Scott,288,,
189,Levi Miller,294,,
190,Billy Barratt,295,,
191,Diaana Babnicova,296,,
192,Juno Temple,307,,
193,Clark Backo,308,,
194,Cristo Fernández,309,,
195,Morgan Freeman,318,,
196,Skip Hinnant,319,,
197,Judy Graubart,320,,
198,Jim Boyd,321,,
199,Rika Miura,326,,
200,Izumi Ōyama,327,,
201,Yoshiharu Yabuki,328,,
202,Bernard Cowan,332,,
203,Morgan Lofting,339,,
204,Mona Marshall,340,,
205,Lee Bailey,341,,
206,Kathy Garver,347,,
207,June Foray,348,,
208,Dick Tufeld,349,,
209,Ed Asner,352,,
210,Rodney Saulsberry,353,,
211,Jennifer Hale,354,,
212,Gary Imhoff,355,,
213,John Payne,360,,
214,Ian Ziering,366,,
215,Keith Carradine,367,,
216,Angelle Brooks,368,,
217,James Arnold Taylor,374,,
218,Daran Norris,375,,
219,Vanessa Marshall,376,,
220,Matt Lanter,383,,
221,Robbie Daymond,389,,
222,Scott Menville,390,,
223,Dee Bradley Baker,396,,
224,Zeno Robinson,401,,
225,Elizabeth Banks,,Q219373,
226,Randy Savage,,Q59635,
227,Valery Kukhareshin,,Q4249791,
228,Vladimir Maslakov,,Q4283881,
229,Sergey Parshin,,Q4346314,
230,Yury Lazarev,,Q4252832,
231,Chris Cooper,,Q273208,
232,Felicity Jones,,Q234447,
233,B. J. Novak,,Q459925,
234,Shailene Woodley,,Q231058,
235,Jennifer Connelly,,Q103343,
236,Logan Marshall-Green,,Q472084,
237,Tiffany Espensen,,Q7801211,
238,Angourie Rice,,Q24034671,
239,Michael Chernus,,Q20630818,
240,Chris Evans,,Q178348,
241,Zoë Kravitz,,Q227129,
242,Kathryn Hahn,,Q271986,
243,Remy Hii,,Q16225873,
244,Numan Acar,,Q1151023,
