person_id,occupation
43,television actor
43,stage actor
43,film actor
43,actor
430,researcher
431,engineer
431,composer
432,musician
432,audio engineer
432,record producer
432,guitarist
432,psychologist
438,musician
438,composer
438,programmer
439,composer
44,film actor
44,singer
44,rapper
44,television actor
44,actor
44,dancer
440,composer
447,actor
447,film score composer
447,screenwriter
448,musician
448,singer
45,actor
45,television actor
45,film actor
45,voice actor
45,screenwriter
45,film director
45,comedian
455,composer
455,lyricist
456,researcher
458,comics artist
459,screenwriter
459,comics artist
459,comics writer
459,writer
459,illustrator
46,actor
46,singer
46,television actor
46,film actor
46,voice actor
46,singer-songwriter
46,model
460,comics artist
460,comics colorist
466,composer
47,actor
47,television actor
47,film actor
48,actor
48,stage actor
48,film actor
480,composer
480,musician
488,film actor
488,stage actor
488,photographer
488,manufacturer
488,actor
488,director
488,writer
49,stage actor
49,film actor
49,television actor
49,voice actor
49,writer
49,screenwriter
5,actor
5,television actor
5,film actor
50,writer
50,actor
50,television actor
50,screenwriter
50,stand-up comedian
500,comics writer
500,screenwriter
500,writer
500,author
51,actor
51,stage actor
51,television actor
51,film actor
51,voice actor
510,composer
511,composer
517,composer
517,film score composer
518,composer
518,musician
52,actor
52,film actor
52,film director
52,film producer
52,voice actor
52,character actor
52,screenwriter
52,television producer
52,executive producer
52,television presenter
52,director
52,writer
520,director
521,voice actor
521,actor
521,casting director
525,animator
525,visual artist
525,film screenwriter
525,writer
526,film director
526,film producer
527,comics artist
527,comics creator
527,writer
53,screenwriter
53,film producer
53,film director
53,voice actor
53,writer
53,stage actor
53,film actor
53,television actor
53,actor
53,director
532,writer
532,novelist
532,screenwriter
532,science fiction writer
532,comics writer
532,television writer
533,composer
537,musician
538,composer
538,film score composer
54,film actor
54,stage actor
54,television actor
54,voice actor
54,executive producer
54,actor
541,writer
541,screenwriter
541,film screenwriter
541,television writer
541,comics writer
542,musician
542,composer
546,television director
546,film producer
549,composer
549,pianist
549,music critic
549,opinion journalist
55,film actor
55,actor
55,film producer
55,voice actor
55,character actor
55,television actor
55,television producer
550,businessperson
550,animator
550,film director
550,designer
550,writer
550,video game producer
558,comics artist
558,comics writer
56,film actor
56,stage actor
56,television actor
56,model
56,actor
560,baseball player
563,researcher
57,actor
570,film score composer
570,composer
570,musician
574,researcher
58,actor
58,television actor
58,film actor
58,film producer
580,baseball player
581,television actor
581,film actor
581,voice actor
581,screenwriter
581,actor
59,comedian
59,actor
59,screenwriter
59,television actor
59,voice actor
59,film actor
59,film producer
59,writer
6,actor
6,television actor
6,film actor
6,voice actor
60,dub actor
60,stage actor
60,film actor
60,actor
60,television actor
61,stage actor
61,film actor
61,television actor
61,actor
61,singer
61,musician
61,guitarist
62,actor
62,composer
62,musician
62,television actor
62,film actor
62,voice actor
62,video game actor
62,film screenwriter
62,television director
63,comedian
63,film actor
63,stage actor
63,television presenter
63,television actor
63,actor
63,screenwriter
63,voice actor
63,film screenwriter
63,film producer
63,film director
64,actor
64,television actor
64,film actor
65,actor
65,stage actor
